 Lower Bounds, Upper Bounds, Mid points
2.97,3.36,3.16
3.36,3.76,3.55
3.76,4.22,3.98
4.22,4.74,4.47
4.74,5.32,5.01
5.32,5.97,5.62
5.97,6.69,6.31
6.69,7.51,7.08
7.51,8.43,7.94
8.43,9.46,8.91
9.46,10.6,10
10.6,11.9,11.2
11.9,13.4,12.6
13.4,15,14.1
15,16.8,15.8
16.8,18.9,17.8
18.9,21.2,20
21.2,23.8,22.4
23.8,26.7,25.1
26.7,29.9,28.2
29.9,33.6,31.6
33.6,37.6,35.5
37.6,42.2,39.8
42.2,47.4,44.7
47.4,53.2,50.1
53.2,59.7,56.2
59.7,66.9,63.1
66.9,75.1,70.8
75.1,84.3,79.4
84.3,94,89.1